state,crop,district,soil_risk_summary,soil_recommendation,farmer_message,source
Bihar,Maize,Gopalganj,"soil is acidic, which may reduce nutrient availability for maize; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",use lime only after local soil expert/soil-test recommendation; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use lime only after local soil expert/soil-test recommendation; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Jamui,"soil is acidic, which may reduce nutrient availability for maize; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",use lime only after local soil expert/soil-test recommendation; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use lime only after local soil expert/soil-test recommendation; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Jehanabad,boron deficiency may affect crop growth and reproductive development,use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Kaimur (Bhabua),"soil is acidic, which may reduce nutrient availability for maize; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",use lime only after local soil expert/soil-test recommendation; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use lime only after local soil expert/soil-test recommendation; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Katihar,zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development,use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Khagaria,"soil is alkaline, which may reduce micronutrient availability; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Kishanganj,"soil is acidic, which may reduce nutrient availability for maize; low nitrogen may cause yellowing and weak vegetative growth; low organic carbon indicates weak soil health and poor moisture/nutrient holding; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development","use lime only after local soil expert/soil-test recommendation; apply nitrogen in split doses as per local maize package of practices; add FYM, compost, crop residue or green manure to improve soil health; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops","Is district ke soil data ke hisaab se: use lime only after local soil expert/soil-test recommendation; apply nitrogen in split doses as per local maize package of practices; add FYM, compost, crop residue or green manure to improve soil health; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops",Soil Health Card dataset
Bihar,Maize,Lakhisarai,low nitrogen may cause yellowing and weak vegetative growth; low organic carbon indicates weak soil health and poor moisture/nutrient holding; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development,"apply nitrogen in split doses as per local maize package of practices; add FYM, compost, crop residue or green manure to improve soil health; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops","Is district ke soil data ke hisaab se: apply nitrogen in split doses as per local maize package of practices; add FYM, compost, crop residue or green manure to improve soil health; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops",Soil Health Card dataset
Bihar,Maize,Madhepura,"soil is alkaline, which may reduce micronutrient availability; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Madhubani,"soil is alkaline, which may reduce micronutrient availability; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Munger,zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development,use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Muzaffarpur,"soil is acidic, which may reduce nutrient availability for maize; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",use lime only after local soil expert/soil-test recommendation; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use lime only after local soil expert/soil-test recommendation; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Nalanda,"soil is alkaline, which may reduce micronutrient availability; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Nawada,zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development,use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Pashchim Champaran,low nitrogen may cause yellowing and weak vegetative growth; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development,apply nitrogen in split doses as per local maize package of practices; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: apply nitrogen in split doses as per local maize package of practices; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Patna,"soil is alkaline, which may reduce micronutrient availability; low organic carbon indicates weak soil health and poor moisture/nutrient holding; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development","add organic matter and monitor zinc/iron deficiency symptoms; add FYM, compost, crop residue or green manure to improve soil health; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops","Is district ke soil data ke hisaab se: add organic matter and monitor zinc/iron deficiency symptoms; add FYM, compost, crop residue or green manure to improve soil health; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops",Soil Health Card dataset
Bihar,Maize,Purbi Champaran,"soil is alkaline, which may reduce micronutrient availability; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Purnia,low nitrogen may cause yellowing and weak vegetative growth,apply nitrogen in split doses as per local maize package of practices,Is district ke soil data ke hisaab se: apply nitrogen in split doses as per local maize package of practices,Soil Health Card dataset
Bihar,Maize,Rohtas,"soil is acidic, which may reduce nutrient availability for maize; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",use lime only after local soil expert/soil-test recommendation; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use lime only after local soil expert/soil-test recommendation; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Saharsa,"soil is alkaline, which may reduce micronutrient availability; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Samastipur,"soil is alkaline, which may reduce micronutrient availability; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Saran,zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development,use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Sheikhpura,"soil is alkaline, which may reduce micronutrient availability; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Sheohar,"soil is alkaline, which may reduce micronutrient availability; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Sitamarhi,"soil is alkaline, which may reduce micronutrient availability; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: add organic matter and monitor zinc/iron deficiency symptoms; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Siwan,zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development,use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Supaul,"soil is alkaline, which may reduce micronutrient availability; low nitrogen may cause yellowing and weak vegetative growth; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",add organic matter and monitor zinc/iron deficiency symptoms; apply nitrogen in split doses as per local maize package of practices; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: add organic matter and monitor zinc/iron deficiency symptoms; apply nitrogen in split doses as per local maize package of practices; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
Bihar,Maize,Vaishali,"soil is acidic, which may reduce nutrient availability for maize; low nitrogen may cause yellowing and weak vegetative growth; zinc deficiency can affect maize leaf growth and crop vigor; boron deficiency may affect crop growth and reproductive development",use lime only after local soil expert/soil-test recommendation; apply nitrogen in split doses as per local maize package of practices; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Is district ke soil data ke hisaab se: use lime only after local soil expert/soil-test recommendation; apply nitrogen in split doses as per local maize package of practices; use zinc sulphate only as per soil-test or agriculture officer advice; use boron micronutrient carefully because excess boron can harm crops,Soil Health Card dataset
